Category,Item,Item Code,Brand,Available Stock,Reorder Level,Price,Total Value,Stock Status
Solar PV Modules ,Solar PV Modules 555W ,SOLAR-PV-555W-JASOLAR,JA SOLAR,16,10,70,1120,Okay
Solar PV modules ,Solar PV modules 540W,SOLAR-PV-540W-ASTRONERGY,Astronergy,6,10,108,648,Okay
Solar PV Modules ,Solar PV Modules 455W,PV-TRINA-MONO-455W,Trina,18,10,62,1116,Okay
Solar PV Moduleas ,Solar PV Moduleas 450W,PV-ASTRONERGY-MONO-450W,Astronergy,1,10,82,82,Reorder
Solar PV Modules ,Solar PV Modules 425W ,PV-JASOLAR-MONO-425W,JA SOLAR,30,10,67,2010,Okay
Solar PV modules ,Solar PV modules 350W ,PV-PHAESUN-MONO-350W,Phaesum,5,10,156,780,Okay
Solar PV Modules ,Solar PV Modules 335W ,PV-RISEN-POLY-335W,Risen,3,10,121,363,Okay
Solar PV Module ,Solar PV Module 325W,PV-JASOLAR-MONO-325W,JA SOLAR,8,10,145,1160,Okay
Suntech Solar module ,Suntech Solar module 275W,PV-ASTRONERGY-POLY-275W,Astronergy,1,10,114,114,Reorder
EcoFlow ,EcoFlow 110W foldable monocrystalline panel,PVFOLD-110-EF,,2,10,120,240,Okay
EcoFlow-220W foldable Monocrystalline panel,EcoFlow-220W foldable Monocrystalline panel,PVFOLD-220-EF,,3,10,181,543,Okay
Solar PV Module ,Solar PV Module 620W,,,35,10,0,0,Okay
Sunsynk Contour ,Sunsynk Contour 2000,INV-SUNSYNK-LFP-2000,SunSynk,1,10,680.01,680.01,Reorder
Sunsynk Loadshedder ,Sunsynk Loadshedder 4,INV-SUNSYNK-LS-3K6-3K8,SunSynk,5,10,999,4995,Okay
Ecoflow River 2 ,"Ecoflow River 2 , 256Wh -300Wac",PS-ECO-R2-256-300,EcoFlow,1,10,186,186,Okay
"Ecoflow River 2 Max,","Ecoflow River 2 Max, 512Wh-500Wac",PS-ECO-R2MAX-512-500,EcoFlow,1,10,326.5,326.5,Okay
EcoFlow River 2 Pro ,EcoFlow River 2 Pro 768Wh-800Wac,PS-ECO-R2PRO-768-800,EcoFlow,2,10,378,756,Okay
Ecoflow Delta 2,"Ecoflow Delta 2, 1800Wac, 1024Wh",PS-ECO-D2-1024-1800,EcoFlow,0,10,515.5,0,Stock Out
EcoFlow E2000,"EcoFlow E2000 , 2048Wh, 2400W",PS-ECO-E2000-2048-2400,EcoFlow,0,10,790.5,0,Stock Out
EcoFlow Delta Pro,"EcoFlow Delta Pro, 3600Wac-3600Wh",PS-ECO-DPRO-3600-3600,EcoFlow,0,10,1443,0,Stock Out
Sunsynk Inverter,Sunsynk Inverter 5.5kVA,INV-SUNSYNK-HYB-5K5-48V,SunSynk,0,10,882,0,Stock Out
Sunsynk Lifelynk Lynnks ,Sunsynk Lifelynk Lynnks 6kw,INV-SUNSYNK-LYNKS-6K0-48V,SunSynk,0,10,0,0,Stock Out
Sunsynk Lifelynk ,Sunsynk Lifelynk 8kVA,INV-SUNSYNK-LYNKS-8K0-48V,SunSynk,0,10,1050,0,Stock Out
Deye Inverter ,Deye 8kVA Inverter ,INV-DEYE-HYB-8K0-48V,Deye,0,10,1004.3,0,Stock Out
Sunsynk 3Phase  Inverter ,Sunsynk 3Phase  Inverter 12kVA,INV-SUNSYNK-3PH-12K0-48V,SunSynk,0,10,0,0,Stock Out
Easy  Solar Victron Inverter /Charger,Easy  Solar 1600VA/24V Victron Inverter /Charger,INV-VICTRON-EASYSOLAR-1600VA-24V,Victron,0,10,874.88,0,Stock Out
Used Easy Solar ,Used Easy Solar 3000VA/24V ,INV-VICTRON-EASYSOLAR-3000VA-24V,Victron,0,10,0,0,Stock Out
Easy Solar -II GX ,"Easy Solar -II GX 48/3000VA, 250/70",INV-VICTRON-EASYSOLARII-GX-3000VA-48V,Victron,0,10,0,0,Stock Out
Victron multiplus -II-GX  ,Victron multiplus -II-GX  48V/3000V/35Amps,INV-VICTRON-MULTIPLUSII-GX-3000VA-48V,Victron,0,10,0,0,Stock Out
Victron Multiplus-II ,Victron Multiplus-II 48V/3000VA/35Amps,INV-VICTRON-MULTIPLUSII-3000VA-48V,Victron,0,10,481.84,0,Stock Out
Victron Multi RS ,"Victron Multi RS 48V/6000VA, 450/80",INV-VICTRON-MULTIRS-6K0-48V,Victron,0,10,1213.7,0,Stock Out
Mobile Power Inverter Xantrex ,Mobile Power Inverter Xantrex 300W,INV-XANTREX-MOBILE-300W-12V,,0,10,70,0,Stock Out
KISAE Power inverter ,KISAE Power inverter 1000W,INV-KISAE-1000W-12V,,0,10,220,0,Stock Out
Newstar Power Inverter ,Newstar Power Inverter 300,INV-NEWSTAR-MOBILE-300W-12V,,0,10,0,0,Stock Out
Power Inverter TPI,Power Inverter TPI-150W,INV-TERMINATOR-TPI-150W-12V,,0,10,0,0,Stock Out
Rolls lithium Battery,"24V, 100Ah Rolls lithium Battery",BAT-ROLLS-LFP-24V-100AH,,0,10,720,0,Stock Out
Powerline Battery,5kWh BSL 5.12 Powerline Battery,BAT-BSL-LFP-51V-100AH-5KWH,,0,10,795,0,Stock Out
Rack mount battery,5.12kWh Rack mount battery,BAT-LFP-RACK-48V-100AH-5KWH,,0,10,797,0,Stock Out
Weco battery,5K3 Weco battery,BAT-WECO-LFP-51V-100AH-5K3,WeCO,0,10,1195,0,Stock Out
BSL Battery,6.9kWh BSL Battery,BAT-BSL-LFP-48V-135AH-6K9,BSL,0,10,1011.38,0,Stock Out
BSL Battery,8.8kWh BSL Battery,BAT-BSL-LFP-48V-172AH-8K8,BSL,0,10,1295,0,Stock Out
BSL battery wall 51.2V-200Ah,10kWh BSL battery wall 51.2V-200Ah,BAT-BSL-LFP-51V-200AH-10KWH,BSL,0,10,1380,0,Stock Out
BSL Battery 51.2V-Slimline 300Ah,15kWh BSL Battery 51.2V-Slimline 300Ah,BAT-BSL-LFP-51V-300AH-15KWH,BSL,0,10,1995,0,Stock Out
"Solar Lithium battery 8aH, 12V","Solar Lithium battery 8aH, 12V",BAT-LFP-12V-8AH,,0,10,0,0,Stock Out
EcoFlow Delta 2 Extra Battery ,EcoFlow Delta 2 Extra Battery 1024Wh,PS-ECO-D2EB-1024,EcoFlow,0,10,275,0,Stock Out
Ecopulse EC-30M,Ecopulse EC-30M,CTRL-MNT-ECOPULSE-30A-12V24V-METER,,0,10,115,0,Stock Out
Phocos CX48,Phocos CX48,CTRL-PHOCOS-CX48-40A-12V,,0,10,0,0,Stock Out
Prostar PS-15,Prostar PS-15,CTRL-MGSTAR-PROSTAR-PS15-12V24V,,0,10,68,0,Stock Out
